character-simplified|pinyin|definition
话题|huàtí|subject (of a talk or conversation); topic
怀念|huáiniàn|to cherish the memory of; to think of; reminisce
缓解|huǎnjiě|to bring relief; to alleviate (a crisis); to dull (a pain)
幻想|huànxiǎng|delusion; fantasy
慌张|huāngzhāng|confused; flustered
黄瓜|huángguā|cucumber; CL:條/条[tiao2]
黄金|huángjīn|gold; golden (opportunity); prime (time)
皇帝|huángdì|emperor; CL:個/个[ge4]
皇后|huánghòu|empress; imperial consort
灰|hūi|ash; dust; lime; gray; discouraged; dejected
灰尘|hūichén|dust
灰心|hūixīn|to lose heart; to be discouraged
挥|hūi|to wave; to brandish; to command; to conduct; to scatter; to disperse
恢复|hūifù|to reinstate; to resume; to restore; to recover; to regain; to rehabilitate
汇率|hùilv̀|exchange rate
婚礼|hūnlǐ|wedding ceremony; wedding; CL:場/场[chang3]
婚姻|hūnyīn|matrimony; wedding; marriage; CL:樁/桩[zhuang1],次[ci4]
活跃|huóyuè|active; lively; excited; to enliven; to brighten up
火柴|huǒchái|match (for lighting fire); CL:根[gen1],盒[he2]
伙伴|huǒbàn|partner; companion; comrade
基本|jīběn|basic; fundamental; main; elementary
机器|jīqì|machine; CL:臺/台[tai2],部[bu4],個/个[ge4]
激烈|jīliè|(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme
肌肉|jīròu|muscle; flesh
及格|jígé|to pass an exam or a test; to meet a minimum standard
急忙|jímáng|hastily
集体|jítǐ|collective (decision); joint (effort); a group; a team; en masse; as a group
集中|jízhōng|to concentrate; to centralize; to focus; centralized; concentrated; to put together
记录|jìlù|to record; record (written account); note-taker; record (in sports etc); CL:個/个[ge4]
记忆|jìyì|to remember; to recall; memory; CL:個/个[ge4]
计算|jìsuàn|to count; to calculate; to compute; CL:個/个[ge4]
寂寞|jìmò|lonely; lonesome; (of a place) quiet; silent
纪录|jìlù|variant of 記錄/记录[ji4 lu4] (but in Taiwan, not for the verb sense "to record")
纪律|jìlv̀|discipline
纪念|jìniàn|to commemorate; to remember; CL:個/个[ge4]
家庭|jiātíng|family; household; CL:戶/户[hu4],個/个[ge4]
家务|jiāwù|household duties; housework
家乡|jiāxiāng|hometown; native place; CL:個/个[ge4]
嘉宾|jiābīn|esteemed guest; honored guest; guest (on a show)
夹子|jiāzǐ|clip; clamp; tongs; folder; wallet
甲|jiǎ|first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; (used for an unspecified person or thing); first (in a list, as a party to a contract etc); letter "A" or roman "I" in list "A, B, C", or "I, II, III" etc; armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit in the baojia 保甲[bao3 jia3] system (old); ancient Chinese compass point: 75°
假如|jiǎrú|if
假装|jiǎzhuāng|to feign; to pretend
嫁|jià|(of a woman) to marry; to marry off a daughter; to shift (blame etc)
价值|jiàzhí|value; worth; fig. values (ethical, cultural etc); CL:個/个[ge4]
驾驶|jiàshǐ|to pilot (ship, airplane etc); to drive
煎|jiān|to pan fry; to sauté
肩膀|jiānbǎng|shoulder
坚决|jiānjué|firm; resolute; determined
坚强|jiānqiáng|staunch; strong
尖锐|jiānrùi|sharp; intense; penetrating; pointed; acute (illness)
艰巨|jiānjù|arduous; terrible (task); very difficult; formidable
艰苦|jiānkǔ|difficult; hard; arduous
捡|jiǎn|to pick up; to collect; to gather
剪刀|jiǎndāo|scissors; CL:把[ba3]
简历|jiǎnlì|curriculum vitae (CV); résumé; biographical notes
简直|jiǎnzhí|simply; at all; practically
健身房|jiànshēnfáng|gym; gymnasium
建立|jiànlì|to establish; to set up; to found
建设|jiànshè|to build; to construct; construction; constructive
建议|jiànyì|to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:個/个[ge4],點/点[dian3]
建筑|jiànzhú|to construct; building; CL:個/个[ge4]
键盘|jiànpán|keyboard
讲究|jiǎngjīu|to pay particular attention to; carefully selected for quality; tastefully chosen
讲座|jiǎngzuò|a course of lectures; CL:個/个[ge4]
降落|jiàngluò|to descend; to land
酱油|jiàngyóu|soy sauce
浇|jiāo|to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold
交换|jiāohuàn|to exchange; to swap; to switch (telecom); commutative (math); to commute
交际|jiāojì|communication; social intercourse
郊区|jiāoqū|suburban district; outskirts; suburbs; CL:個/个[ge4]
胶水|xiáoshǔi|glue
角度|jiǎodù|angle; point of view
狡猾|jiǎohuá|crafty; cunning; sly
教材|jiàocái|teaching material; CL:本[ben3]
教练|jiàoliàn|instructor; sports coach; trainer; CL:個/个[ge4],位[wei4],名[ming2]
教训|jiàoxùn|lesson; moral; to chide sb; to lecture sb
接触|jiēhóng|to touch; to contact; access; in touch with
接待|jiēdài|to receive (a visitor); to admit (allow sb to enter)
接近|jiējìn|to approach; to get close to
接着|jiēzháo|to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
阶段|jiēduàn|stage; section; phase; period; CL:個/个[ge4]
结实|jiéshí|to bear fruit; rugged; sturdy; strong; durable; buff (physique)
节|jié|see 節骨眼/节骨眼[jie1 gu5 yan3]; festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個/个[ge4]
节省|jiéshěng|saving; to save; to use sparingly; to cut down on
结构|jiégōu|structure; composition; makeup; architecture; CL:座[zuo4],個/个[ge4]
结合|jiéhé|to combine; to link; to integrate; binding; CL:次[ci4]
结论|jiélùn|conclusion; verdict; CL:個/个[ge4]; to conclude; to reach a verdict
结账|jiézhàng|to pay the bill; to settle accounts; also written 結帳/结帐
解放|jiěfàng|to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949; CL:次[ci4]
解说员|jiěshuōyuán|commentator
届|jiè|to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)
借口|jièkǒu|to use as an excuse; on the pretext; excuse; pretext
戒烟|jièyān|to give up smoking
戒指|jièzhǐ|(finger) ring
金属|jīnshǔ|metal; CL:種/种[zhong3]
紧|jǐn|tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten
紧急|jǐnjí|urgent; emergency
尽量|jǐnliàng|as much as possible; to the greatest extent; as much as possible; to the greatest extent
谨慎|jǐnshèn|cautious; prudent
进步|jìnbù|progress; improvement; to improve; to progress; CL:個/个[ge4]
进口|jìnkǒu|to import; imported; entrance; inlet (for the intake of air, water etc)
近代|jìndài|the not-very-distant past; modern times, excluding recent decades; (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919); capitalist times (pre-1949)
尽力|jǐnlì|to strive one's hardest; to spare no effort
精力|jīnglì|energy
经典|jīngdiǎn|the classics; scriptures; classical; classic (example, case etc); typical
经营|jīngyíng|to engage in (business etc); to run; to operate
景色|jǐngsè|scenery; scene; landscape; view
敬爱|jìngài|respect and love
酒吧|jǐuba|bar; pub; saloon; CL:家[jia1]
救|jìu|variant of 救[jiu4]; to save; to assist; to rescue
救护车|jìuhùchē|ambulance; CL:輛/辆[liang4]
舅舅|jìujìu|mother's brother; maternal uncle (informal); CL:個/个[ge4]
居然|jūrán|unexpectedly; to one's surprise; go so far as to
桔子|jiézǐ|tangerine; also written 橘子; CL:個/个[ge4],瓣[ban4]
举|jǔ|variant of 舉/举[ju3]; to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed
具备|jùbèi|to possess; to have; equipped with; able to fulfill (conditions or requirements)
具体|jùtǐ|concrete; definite; specific
巨大|jùdà|huge; immense; very large; tremendous; gigantic; enormous
聚会|jùhùi|party; gathering; to meet; to get together
俱乐部|jùlèbù|club (the organisation or its premises) (loanword); CL:個/个[ge4]
据说|jùshuō|it is said that; reportedly
捐|juān|to contribute; to donate; contribution; tax; to abandon
卷|juàn|to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc); scroll; book; volume; chapter; examination paper; classifier for books, paintings: volume, scroll; to roll (up); to sweep up; to carry on; roll
决赛|juésài|finals (of a competition)
决心|juéxīn|determination; resolution; determined; firm and resolute; to make up one's mind; CL:個/个[ge4]
绝对|juédùi|absolute; unconditional
角色|jiǎosè|role; character in a novel; persona; also pr. [jiao3 se4]
军事|jūnshì|military affairs; military matters; military
均匀|jūnyún|even; well-distributed; homogeneous; well-proportioned (figure, body etc)
卡车|qiǎchē|truck; CL:輛/辆[liang4]
开发|kāifā|to exploit (a resource); to open up (for development); to develop
开放|kāifàng|to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality
开幕式|kāimùshì|opening ceremony
开心|kāixīn|to feel happy; to rejoice; to have a great time; to make fun of sb
砍|kǎn|to chop; to cut down; to throw sth at sb
看不起|kànbùqǐ|to look down upon; to despise
看来|kànlái|apparently; it seems that
抗议|kàngyì|to protest; protest
烤鸭|kǎoyā|roast duck
颗|kē|classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
可见|kějiàn|it can clearly be seen (that this is the case); it is (thus) clear; clear; visible
可靠|kěkào|reliable
可怕|kěpà|awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly
刻苦|kèkǔ|hardworking; assiduous
课程|kèchéng|course; academic program; CL:堂[tang2],節/节[jie2],門/门[men2]
克|kè|to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農/神农[Shen2 nong2] Farmer God; variant of 克[ke4]; to subdue; to overthrow; to restrain; to scold; to beat; variant of 剋/克[ke4]
克服|kèfú|(try to) overcome (hardships etc); to conquer; to put up with; to endure
客观|kèguān|objective; impartial
客厅|kètīng|drawing room (room for arriving guests); living room; CL:間/间[jian1]
空间|kōngjiān|space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space
恐怖|kǒngbù|terrible; frightful; frightening; terror; terrorist
空闲|kōngxián|idle; free time; leisure; unused (place)
控制|kòngzhì|control; to exercise control over; to contain
口味|kǒuwèi|a person's preferences; tastes (in food); flavor
夸|kuā|see 夸克[kua1 ke4]; to boast; to exaggerate; to praise
会计|hùijì|accountant; accountancy; accounting
矿泉水|kuàngquánshǔi|mineral spring water; CL:瓶[ping2],杯[bei1]
辣椒|làjiāo|hot pepper; chili
蜡烛|làzhú|candle; CL:根[gen1],支[zhi1]
来自|láizì|to come from (a place); From: (in email header)
拦|lán|to block sb's path; to obstruct; to flag down (a taxi)
烂|làn|soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad
狼|láng|wolf; CL:匹[pi3],隻/只[zhi1],條/条[tiao2]
劳动|láodòng|work; toil; physical labor; CL:次[ci4]
劳驾|láojià|excuse me
老百姓|lǎobǎixìng|ordinary people; the "person in the street"; CL:個/个[ge4]
老板|lǎobǎn|variant of 老闆/老板[lao3 ban3]; Robam (brand); boss; business proprietor; CL:個/个[ge4]
老实|lǎoshí|honest; sincere; well-behaved; open and guileless; naive
老鼠|lǎoshǔ|rat; mouse; CL:隻/只[zhi1]
姥姥|mǔmǔ|(coll.) mother's mother; maternal grandmother
乐观|lèguān|optimistic; hopeful
雷|léi|surname Lei; thunder; mine (weapon); (Internet slang) terrifying; terrific
类|lèi|kind; type; class; category; similar; like; to resemble
梨|lí|pear; CL:個/个[ge4]
离婚|líhūn|to divorce; divorced from (one's spouse)
厘米|límǐ|centimeter
礼拜天|lǐbàitiān|Sunday
理论|lǐlùn|theory; CL:個/个[ge4]; to argue; to take notice of
理由|lǐyóu|reason; grounds; justification; CL:個/个[ge4]
粒|lì|grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc)
立方|lìfāng|cube (math.); abbr. for 立方體/立方体[li4 fang1 ti3]; abbr. for 立方米[li4 fang1 mi3]
立即|lìjí|immediately
立刻|lìkè|forthwith; immediate; prompt; promptly; straightway; thereupon; at once
力量|lìliàng|power; force; strength
利润|lìrùn|profits
利息|lìxī|interest (on a loan); CL:筆/笔[bi3]
利益|lìyì|benefit; (in sb's) interest; CL:個/个[ge4]
利用|lìyòng|to exploit; to make use of; to use; to take advantage of; to utilize
连忙|liánmáng|promptly; at once
连续剧|liánxùjù|serialized drama; dramatic series; show in parts
联合|liánhé|to combine; to join; unite; alliance
恋爱|liànài|(romantic) love; CL:個/个[ge4],場/场[chang3]; in love; to have an affair
良好|liánghǎo|good; favorable; well; fine
粮食|liángshí|foodstuff; cereals; CL:種/种[zhong3]
了不起|lebùqǐ|amazing; terrific; extraordinary
临时|línshí|as the time draws near; at the last moment; temporary; interim; ad hoc
铃|líng|(small) bell; CL:隻/只[zhi1]
零件|língjiàn|part; component
零钱|língqián|change (of money); small change; pocket money
零食|língshí|between-meal nibbles; snacks
灵活|línghuó|flexible; nimble; agile
领导|lǐngdǎo|lead; leading; to lead; leadership; leader; CL:位[wei4],個/个[ge4]
领域|lǐngyù|domain; sphere; field; territory; area
流传|líuchuán|to spread; to circulate; to hand down
浏览|líulǎn|to skim over; to browse
龙|lóng|surname Long; dragon; CL:條/条[tiao2]; imperial
漏|lòu|to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)
露|lù|surname Lu; to show; to reveal; to betray; to expose; dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose
陆地|lùdì|dry land (as opposed to the sea)
陆续|lùxù|in turn; successively; one after the other; bit by bit
录取|lùqǔ|to accept an applicant (prospective student, employee etc) who passes an entrance exam; to admit (a student); to hire (a job candidate)
录音|lùyīn|to record (sound); sound recording; CL:個/个[ge4]
轮流|lúnlíu|to alternate; to take turns
论文|lùnwén|paper; treatise; thesis; CL:篇[pian1]; to discuss a paper or thesis (old)
逻辑|luójí|logic (loanword)
落后|luòhòu|to fall behind; to lag (in technology etc); backward; to retrogress
骂|mà|to scold; to abuse; to curse; CL:通[tong4],頓/顿[dun4]; variant of 罵/骂[ma4]
麦克风|màikèfēng|microphone (loanword)
馒头|mántóu|steamed roll; steamed bun; steamed bread; CL:個/个[ge4]
满足|mǎnzú|to satisfy; to meet (the needs of); satisfied; content
毛|máo|surname Mao; hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])
毛病|máobìng|fault; defect; shortcomings; ailment; CL:個/个[ge4]
矛盾|máodùn|contradiction; CL:個/个[ge4]; conflicting views; contradictory
冒险|màoxiǎn|to take risks; to take chances; foray; adventure
贸易|màoyì|(commercial) trade; CL:個/个[ge4]
眉毛|méimáo|eyebrow; CL:根[gen1]
煤炭|méitàn|coal
美术|měizhú|art; fine arts; painting; CL:種/种[zhong3]
魅力|mèilì|charm; fascination; glamor; charisma
迷路|mílù|to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear)
谜语|míyǔ|riddle; conundrum; CL:條/条[tiao2]
密切|mìqiē|close; familiar; intimate; closely (related); to foster close ties; to pay close attention
蜜蜂|mìfēng|bee; honeybee; CL:隻/只[zhi1],群[qun2]
秘密|mìmì|secret; CL:個/个[ge4]
秘书|mìshū|secretary
棉花|miánhuā|cotton
面对|miàndùi|to confront; to face
面积|miànjī|area (of a floor, piece of land etc); surface area; tract of land
面临|miànlín|to face sth; to be confronted with
描写|miáoxiě|to describe; to depict; to portray; description
苗条|miáotiáo|(of a woman) slim; slender; graceful
秒|miǎo|second (unit of time); arc second (angular measurement unit); (coll.) instantly
民主|mínzhǔ|democracy
明确|míngquè|clear-cut; definite; explicit; to clarify; to specify; to make definite
明显|míngxiǎn|clear; distinct; obvious
明信片|míngxìnpiàn|postcard
明星|míngxīng|star; celebrity
名牌|míngpái|famous brand; nameplate; name tag
名片|míngpiàn|(business) card
名胜|míngshèng|a place famous for its scenery or historical relics; scenic spot; CL:處/处[chu4]
命令|mìnglìng|order; command; CL:道[dao4],個/个[ge4]
命运|mìngyùn|fate; destiny; CL:個/个[ge4]
摸|mō|to feel with the hand; to touch; to stroke; to grope; to steal; to abstract; variant of 摹[mo2]
摩托车|mótuōchē|motorbike; motorcycle (loanword); CL:輛/辆[liang4],部[bu4]
模仿|mófǎng|to imitate; to copy; to emulate; to mimic; model
模糊|móhú|vague; indistinct; fuzzy
陌生|mòshēng|strange; unfamiliar
某|mǒu|some; a certain; sb or sth indefinite; such-and-such
目标|mùbiāo|target; goal; objective; CL:個/个[ge4]
目录|mùlù|catalog; table of contents; directory (on computer hard drive); list; contents
目前|mùqián|at the present time; currently
木头|mùtóu|slow-witted; blockhead; log (of wood, timber etc); CL:塊/块[kuai4],根[gen1]
哪怕|nǎpà|even; even if; even though; no matter how
难怪|nánguài|(it's) no wonder (that...); (it's) not surprising (that)
难看|nánkàn|ugly; unsightly
脑袋|nǎodài|head; skull; brains; mental capability; CL:顆/颗[ke1],個/个[ge4]
内科|nèikē|internal medicine; general medicine
嫩|nèn|tender; soft; delicate; light (color); inexperienced; unskilled; old variant of 嫩[nen4]; tender; delicate
能干|nénggān|capable; competent
能源|néngyuán|energy; power source; CL:個/个[ge4]
年代|niándài|a decade of a century (e.g. the Sixties); age; era; period; CL:個/个[ge4]
年纪|niánjì|age; CL:把[ba3],個/个[ge4]
念|niàn|variant of 念[nian4], to read aloud; to read; to study (a subject); to attend (a school); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)
宁可|níngkě|preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils
牛仔裤|níuzǐkù|jeans; CL:條/条[tiao2]
浓|nóng|concentrated; dense; strong (smell etc)
农民|nóngmín|peasant; farmer; CL:個/个[ge4]
农业|nóngyè|agriculture; farming
女士|nv̌shì|lady; madam; CL:個/个[ge4],位[wei4]; Miss; Ms
偶然|ǒurán|incidentally; occasional; occasionally; by chance; randomly
拍|pāi|to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music)
排队|páidùi|to line up
排球|páiqíu|volleyball; CL:個/个[ge4]
派|pài|clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie
盼望|pànwàng|to hope for; to look forward to
赔偿|péicháng|to compensate
培养|péiyǎng|to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology)
配合|pèihé|matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine
佩服|pèifú|to admire
盆|pén|basin; flower pot; unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters; CL:個/个[ge4]
碰见|pèngjiàn|to run into; to meet (unexpectedly); to bump into
披|pī|to drape over one's shoulders; to open; to unroll; to split open; to spread out
批|pī|to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)
批准|pīzhǔn|to approve; to ratify
疲劳|píláo|fatigue; wearily; weariness; weary
皮鞋|píxié|leather shoes
匹|pǐ|mate; one of a pair; classifier for horses, mules etc; Taiwan pr. [pi1]; ordinary person; classifier for cloth: bolt; horsepower; variant of 匹[pi3]; classifier for cloth: bolt
片|piàn|disk; sheet; thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; Kangxi radical 91
片面|piànmiàn|unilateral; one-sided
飘|piāo|variant of 飄/飘[piao1]; to float
频道|píndào|frequency; (television) channel
品种|pǐnzhǒng|breed; variety; CL:個/个[ge4]
凭|píng|variant of 憑/凭[ping2]; to lean against; to rely on; on the basis of; no matter (how, what etc); proof
平|píng|surname Ping; flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲/平声[ping2 sheng1]
平常|píngcháng|ordinary; common; usually; ordinarily
平等|píngděng|equal; equality
平方|píngfāng|square (as in square foot, square mile, square root)
平衡|pínghéng|balance; equilibrium
平静|píngjìng|tranquil; undisturbed; serene
平均|píngjūn|average; on average; evenly; in equal proportions
评价|píngjià|to evaluate; to assess
破产|pòchǎn|to go bankrupt; to become impoverished; bankruptcy
破坏|pòhuài|destruction; damage; to wreck; to break; to destroy
迫切|pòqiē|urgent; pressing
朴素|pòsù|plain and simple; unadorned; simple living; not frivolous
期待|qīdài|to look forward to; to await; expectation
期间|qījiān|period of time; time; time period; period; CL:個/个[ge4]
其余|qíyú|the rest; the others; remaining; remainder; apart from them
奇迹|qíjī|miracle; miraculous; wonder; marvel
启发|qǐfā|to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation
企图|qǐtú|to attempt; to try; attempt; CL:種/种[zhong3]
企业|qǐyè|company; firm; enterprise; corporation; CL:家[jia1]
气氛|qìfēn|atmosphere; mood
汽油|qìyóu|gasoline
牵|qiān|to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in
签字|qiānzì|to sign (one's name); signature
谦虚|qiānxū|modest; self-effacing; to make modest remarks
前途|qiántú|prospects; future outlook; journey
浅|qiǎn|sound of moving water; shallow; light (color)
欠|qiàn|deficient; to owe; to lack; yawn
枪|qiāng|surname Qiang; gun; firearm; rifle; spear; thing with shape or function similar to a gun; CL:支[zhi1],把[ba3],桿/杆[gan3],條/条[tiao2],枝[zhi1]; to substitute for another person in a test; to knock; classifier for rifle shots; variant of 槍/枪[qiang1]; rifle; spear
强调|qiángdiào|to emphasize (a statement); to stress
强烈|qiángliè|intense; (violently) strong
抢|qiǎng|see 搶風/抢风[qiang1 feng1]; to fight over; to rush; to scramble; to grab; to rob; to snatch
悄悄|qiǎoqiǎo|quietly; secretly; stealthily; quiet; worried; Taiwan pr. [qiao3 qiao3]
瞧|qiáo|to look at; to see; to see (a doctor); to visit
巧妙|qiǎomiào|ingenious; clever; ingenuity; artifice
切|qiē|to cut; to slice; tangent (math); definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]
亲爱|qīnài|dear; beloved; darling
亲切|qīnqiē|amiable; cordial; close and dear; familiar
亲自|qīnzì|personally; in person; oneself
侵略|qīnlvè|invasion; encroachment
勤奋|qínfèn|hardworking; diligent
勤劳|qínláo|hardworking; industrious; diligent
青|qīng|abbr. for 青海[Qing1 hai3], Qinghai Province; green; blue; black; youth; young (of people)
青春|qīngchūn|youth; youthfulness
青少年|qīngshǎonián|adolescent; youth; teenager
轻视|qīngshì|contempt; contemptuous; to despise; to scorn; scornful
清淡|qīngdàn|light (of food, not greasy or strongly flavored); insipid; slack (sales)
情景|qíngjǐng|scene; spectacle; circumstances; situation
情绪|qíngxù|mood; state of mind; moodiness; CL:種/种[zhong3]
请求|qǐngqíu|to request; to ask; request; CL:個/个[ge4]
庆祝|qìngzhù|to celebrate
球迷|qíumí|fan (ball sports); CL:個/个[ge4]
趋势|qūshì|trend; tendency
娶|qǔ|to take a wife; to marry (a woman)
取消|qǔxiāo|to cancel; cancellation
去世|qùshì|to pass away; to die
圈|quān|to confine; to lock up; to pen in; pen (pig); a fold; circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:個/个[ge4]; to surround; to circle
全面|quánmiàn|all-around; comprehensive; total; overall
权力|quánlì|power; authority
权利|quánlì|right (i.e. an entitlement to sth); (classical) power and wealth
劝|quàn|to advise; to urge; to try to persuade; to exhort; to console; to soothe
缺乏|quēfá|to lack; to be short of; lack; shortage
确定|quèdìng|definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box)
确认|quèrèn|to confirm; to verify; confirmation
燃烧|ránshāo|to ignite; to combust; to burn; combustion; flaming
嚷|rǎng|to blurt out; to shout
绕|rào|to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex; variant of 繞/绕[rao4], to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour
热爱|rèài|to love ardently; to adore
热烈|rèliè|enthusiastic; ardent; warm
热心|rèxīn|enthusiasm; zeal; zealous; zest; enthusiastic; ardent; warmhearted
人才|réncái|talent; talented person; looks; attractive looks
人口|rénkǒu|population; people
人类|rénlèi|humanity; human race; mankind
人生|rénshēng|life (one's time on earth)
人事|rénshì|personnel; human resources; human affairs; ways of the world; (euphemism) sexuality; the facts of life
人物|rénwù|person; character (in a play, novel etc); protagonist; CL:個/个[ge4]
人员|rényuán|staff; crew; personnel; CL:個/个[ge4]
忍不住|rěnbùzhù|cannot help; unable to bear
日常|rìcháng|daily; everyday
日程|rìchéng|schedule; itinerary; CL:個/个[ge4]
日历|rìlì|calendar; CL:張/张[zhang1],本[ben3]
日期|rìqī|date; CL:個/个[ge4]
日用品|rìyòngpǐn|articles for daily use; CL:件[jian4],個/个[ge4]
融化|rónghuà|to melt; to thaw; to dissolve; to blend into; to combine; to fuse
荣幸|róngxìng|honored (to have the privilege of ...)
荣誉|róngyù|honor; credit; glory; (honorable) reputation; honorary
如何|rúhé|how; what way; what
如今|rújīn|nowadays; now
软件|ruǎnjiàn|(computer) software
弱|ruò|weak; feeble; young; inferior; (following a decimal or fraction) slightly less than
洒|sǎ|to sprinkle; to spray; to spill; to shed
嗓子|sǎngzǐ|throat; voice; CL:把[ba3]
杀|shā|to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely
沙漠|shāmò|desert; CL:個/个[ge4]
沙滩|shātān|beach; sandy shore; CL:片[pian4]
傻|shǎ|foolish
晒|shài|variant of 曬/晒[shai4]; (of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share"); (coll.) to give the cold shoulder to
删除|shānchú|to delete; to cancel
闪电|shǎndiàn|lightning; CL:道[dao4]
善良|shànliáng|good and honest; kindhearted
善于|shànyú|to be good at; to be adept at
扇子|shànzǐ|fan; CL:把[ba3]
商品|shāngpǐn|commodity; goods; merchandise; CL:個/个[ge4]
商业|shāngyè|business; trade; commerce
上当|shàngdāng|taken in (by sb's deceit); to be fooled; to be duped
勺子|sháozǐ|scoop; ladle; CL:把[ba3]
蛇|shé|variant of 蛇[she2]; snake; serpent; CL:條/条[tiao2]
舌头|shétóu|tongue; CL:個/个[ge4]; enemy soldier captured for the purpose of extracting information
舍不得|shèbùdé|to hate to do sth; to hate to part with; to begrudge
设备|shèbèi|equipment; facilities; installations; CL:個/个[ge4]
设计|shèjì|plan; design; to design; to plan; CL:個/个[ge4]
设施|shèshī|facilities; installation
射击|shèjí|to shoot; to fire (a gun)
摄影|shèyǐng|to take a photograph; photography; to shoot (a movie)
伸|shēn|to stretch; to extend
深刻|shēnkè|profound; deep; deep-going
身材|shēncái|stature; build (height and weight); figure
身份|shēnfèn|identity; status; capacity; dignity; position; rank
神话|shénhuà|legend; fairy tale; myth; mythology
神经|shénjīng|nerve; mental state; (coll.) unhinged; nutjob
神秘|shénmì|mysterious; mystery
升|shēng|to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗[dou3]; variant of 升[sheng1]; to ascend; to rise in rank; variant of 升[sheng1]
生产|shēngchǎn|to produce; to manufacture; to give birth to a child
生动|shēngdòng|vivid; lively
声调|shēngdiào|tone; note; a tone (on a Chinese syllable); CL:個/个[ge4]
绳子|shéngzǐ|cord; string; rope; CL:條/条[tiao2]
省略|shěnglvè|to leave out; an omission
胜利|shènglì|victory; CL:個/个[ge4]
