character-simplified|pinyin|definition
茎|jīng|stalk; stem; CL:條/条[tiao2]
精打细算|jīngdǎxìsuàn|meticulous planning and careful accounting (idiom)
精华|jīnghuá|best feature; most important part of an object; quintessence; essence; soul
精简|jīngjiǎn|to simplify; to reduce
精密|jīngmì|accuracy; exact; precise; refined
精确|jīngquè|accurate; precise
精通|jīngtōng|to be proficient in; to master (a subject)
精心|jīngxīn|with utmost care; fine; meticulous; detailed
精致|jīngzhì|delicate; fine; exquisite; refined
经费|jīngfèi|funds; expenditure; CL:筆/笔[bi3]
经商|jīngshāng|to trade; to carry out commercial activities; in business
经纬|jīngwěi|warp and woof; longitude and latitude; main points
惊动|liángdòng|to alarm; to startle; to disturb
惊奇|liángqí|to be amazed; to be surprised; to wonder
惊讶|liángyà|amazed; astonished; to surprise; amazing; astonishment; awe
兢兢业业|jīngjīngyèyè|cautious and conscientious
井|jǐng|Jing, one of the 28 constellations of Chinese astronomy; surname Jing; a well; CL:口[kou3]; neat; orderly
警告|jǐnggào|to warn; to admonish
警惕|jǐngtì|to be on the alert; vigilant; alert; on guard; to warn
颈椎|jǐngzhūi|cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals
敬礼|jìnglǐ|to salute; salute
境界|jìngjiè|boundary; state; realm
竞赛|jìngsài|race; competition; CL:個/个[ge4]
竞选|jìngxuǎn|to take part in an election; to run for office
镜头|jìngtóu|camera lens; camera shot (in a movie etc); scene
纠纷|jīufēn|dispute
纠正|jīuzhèng|to correct; to make right
酒精|jǐujīng|alcohol; ethanol CH3CH2OH; ethyl alcohol; also written 乙醇; grain alcohol
救济|jìujì|emergency relief; to help the needy with cash or goods
就近|jìujìn|nearby; in a close neighborhood
就业|jìuyè|to get a job; employment
就职|jìuzhí|to take office; to assume a post
鞠躬|jūgōng|to bow; (literary) to bend down
拘留|jūlíu|to detain (a prisoner); to keep sb in custody
拘束|jūshù|to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent
居住|jūzhù|to reside; to dwell; to live in a place; resident in
局部|júbù|part; local
局面|júmiàn|aspect; phase; situation
局势|júshì|situation; state (of affairs)
局限|júxiàn|variant of 局限[ju2 xian4]; to limit; to confine; to restrict sth within set boundaries
举动|jǔdòng|act; action; activity; move; movement
举世闻名|jǔshìwénmíng|world-famous (idiom)
举世瞩目|jǔshìzhǔmù|to receive worldwide attention
举足轻重|jǔzúqīngzhòng|to play a critical role (idiom); influential
咀嚼|jǔjiáo|to chew; to think over
沮丧|jūsāng|dispirited; dejected; dismayed
剧本|jùběn|script for play, opera, movie etc; screenplay; scenario
剧烈|jùliè|violent; acute; severe; fierce
聚精会神|jùjīnghùishén|to concentrate one's attention (idiom)
据悉|jùxī|according to reports; it is reported (that)
决策|juécè|strategic decision; decision-making; policy decision; to determine policy
觉悟|juéwù|to come to understand; to realize; consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)
觉醒|juéxǐng|to awaken; to come to realize; awakened to the truth; the truth dawns upon one; scales fall from the eyes; to become aware
绝望|juéwàng|to despair; to give up all hope; desperate; desperation
军队|jūndùi|army; troops; CL:支[zhi1],個/个[ge4]
卡通|qiǎtōng|cartoon (loanword)
开采|kāicǎi|to extract (ore or other resource from a mine); to exploit; to mine
开除|kāichú|to expel (a member of an organization); to fire (an employee)
开阔|kāikuò|wide; open (spaces); to open up
开朗|kāilǎng|spacious and well-lit; open and clear; (of character) optimistic; cheerful; carefree
开明|kāimíng|enlightened; open-minded; enlightenment
开辟|kāipì|to open up; to set up; to establish
开水|kāishǔi|boiled water; boiling water
开拓|kāituò|to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons)
开展|kāizhǎn|to launch; to develop; to unfold; (of an exhibition etc) to open
开支|kāizhī|expenditures; expenses; CL:筆/笔[bi3], 項/项[xiang4]; to spend money; (coll.) to pay wages
刊登|kāndēng|to carry a story; to publish (in a newspaper or magazine)
刊物|kānwù|publication
勘探|kāntàn|to explore; to survey; to prospect (for oil etc); prospecting
看待|kàndài|to look upon; to regard
看望|kànwàng|to visit; to pay a call to
慷慨|kāngkǎi|vehement; fervent; generous; giving; liberal
扛|káng|to raise aloft with both hands; (of two or more people) to carry sth together; to carry on one's shoulder; (fig.) to take on (a burden, duty etc); old variant of 扛[gang1]
考察|kǎochá|to inspect; to observe and study; on-the-spot investigation
考古|kǎogǔ|archaeology
考核|kǎohé|to examine; to check up on; to assess; to review; appraisal; review; evaluation
考验|kǎoyàn|to test; to put to the test; trial; ordeal
靠拢|kàolǒng|to draw close to
磕|kē|to tap; to knock (against sth hard); to knock (mud from boots, ashes from a pipe etc); variant of 嗑[ke4]
颗粒|kēlì|kernel; granule; granulated (sugar, chemical product)
科目|kēmù|subject
渴望|kěwàng|to thirst for; to long for
可观|kěguān|considerable; impressive; significant
可口|kěkǒu|tasty; to taste good
可恶|kěè|repulsive; vile; hateful; abominable
可笑|kěxiào|funny; ridiculous
可行|kěxíng|feasible
刻不容缓|kèbùrónghuǎn|to brook no delay; to demand immediate action
课题|kètí|task; problem; issue
客户|kèhù|client; customer
啃|kěn|to gnaw; to nibble; to bite
恳切|kěnqiē|earnest; sincere
坑|kēng|hole; pit; tunnel; to defraud; variant of 坑[keng1]; pit; hole
空洞|kōngdòng|cavity; empty; vacuous
空前绝后|kōngqiánjuéhòu|unprecedented and never to be duplicated; the first and the last; unmatched; unique
空想|kōngxiǎng|daydream; fantasy; to fantasize
空虚|kōngxū|hollow; emptiness; meaningless
孔|kǒng|surname Kong; hole; CL:個/个[ge4]; classifier for cave dwellings
恐吓|kǒngxià|to threaten; to menace
恐惧|kǒngjù|to be frightened; fear; dread
空白|kōngbái|blank space
空隙|kōngxì|crack; gap between two objects; gap in time between two events
口气|kǒuqì|tone of voice; the way one speaks; manner of expression; tone
口腔|kǒuqiāng|oral cavity
口头|kǒutóu|oral; verbal
口音|kǒuyīn|oral speech sounds (linguistics); voice; accent
枯竭|kūjié|used up; dried up; exhausted (of resources)
枯燥|kūzào|dry and dull; uninteresting; dry-as-dust
挎|kū|to carry (esp. slung over the arm, shoulder or side)
跨|kuà|to step across; to stride over; to straddle; to span
快活|kuàihuó|happy; cheerful
宽敞|kuānchǎng|spacious; wide
款待|kuǎndài|to entertain; to be hospitable to
款式|kuǎnshì|pattern; style; design; CL:種/种[zhong3]; elegant; elegance; good taste
筐|kuāng|basket; CL:隻/只[zhi1]
旷课|kuàngkè|to play truant; to cut classes
框架|kuàngjià|frame; framework; fig. pattern; outline; organizing plan
况且|kuàngqiě|moreover; besides; in addition; furthermore
亏待|yúdài|to treat sb unfairly
亏损|yúsǔn|deficit; (financial) loss
昆虫|kūnchóng|insect; CL:隻/只[zhi1],群[qun2],堆[dui1]
捆绑|kǔnbǎng|to bind
扩充|kuòchōng|to expand
扩散|kuòsàn|to spread; to proliferate; to diffuse; spread; proliferation; diffusion
扩张|kuòzhāng|expansion; dilation; to expand (e.g. one's power or influence); to broaden
喇叭|lǎbā|horn (automobile etc); loudspeaker; brass wind instrument; trumpet; suona 鎖吶/锁呐[suo3 na4]
啦|la|(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat; sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples
来历|láilì|history; antecedents; origin
来源|láiyuán|source (of information etc); origin
栏目|lánmù|regular column or segment (in a publication or broadcast program); program (TV or radio)
懒惰|lǎnduò|idle; lazy
狼狈|lángbèi|in a difficult situation; to cut a sorry figure; scoundrel! (derog.)
朗读|lǎngdú|to read aloud
捞|lāo|to fish up; to dredge up
唠叨|láotāo|to prattle; to chatter away; to nag; garrulous; nagging
牢固|láogù|firm; secure
牢骚|láosāo|discontent; complaint; to complain
乐趣|lèqù|delight; pleasure; joy
乐意|lèyì|to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied
雷达|léidá|radar (loanword)
类似|lèisì|similar; analogous
冷淡|lěngdàn|cold; indifferent
冷酷|lěngkù|grim; unfeeling; callous
冷却|lěngquè|to cool off; cooling
愣|lèng|to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly; rash; rashly
黎明|límíng|dawn; daybreak
里程碑|lǐchéngbēi|milestone
礼节|lǐjié|etiquette
理睬|lǐcǎi|to heed; to pay attention to
理智|lǐzhì|reason; intellect; rationality; rational
立场|lìcháng|position; standpoint; CL:個/个[ge4]
立交桥|lìjiāoqiáo|overpass; flyover
立体|lìtǐ|three-dimensional; solid; stereoscopic
立足|lìzú|to stand; to have a footing; to be established; to base oneself on
历代|lìdài|successive generations; successive dynasties; past dynasties
历来|lìlái|always; throughout (a period of time); (of) all-time
利害|lìhài|pros and cons; advantages and disadvantages; gains and losses; terrible; formidable; serious; devastating; tough; capable; sharp; severe; fierce
利率|lìlv̀|interest rates
力图|lìtú|to try hard to; to strive to
力争|lìzhēng|to work hard for; to do all one can; to contend strongly
例外|lìwài|exception; to be an exception
连年|liánnián|successive years; over many years
连锁|liánsuǒ|to interlock; to be linked; chain (store etc)
连同|liántóng|together with; along with
联欢|liánhuān|to have a get-together; celebration; party
联络|liánluò|to get in touch with; to contact; to stay in contact (with); liaison; (math.) connection
联盟|liánméng|alliance; union; coalition
联想|liánxiǎng|abbr. for 聯想集團/联想集团[Lian2 xiang3 Ji2 tuan2]; to associate (cognitively); to make an associative connection; mental association; word prediction and auto-complete functions of input method editing programs
廉洁|liánjié|honest; not coercive; honesty; integrity; incorruptible
良心|liángxīn|conscience
晾|liàng|to dry in the air; (fig.) to cold-shoulder
谅解|liàngjiě|to understand; to make allowances for; understanding
辽阔|liáokuò|vast; extensive
列举|lièjǔ|a list; to list; to enumerate
淋|lín|to sprinkle; to drip; to pour; to drench; to filter; to strain; to drain; gonorrhea; (TCM) strangury
临床|línchuáng|clinical
吝啬|lìnsè|stingy; mean; miserly
零星|língxīng|fragmentary; random; bits and pieces; sporadic
凌晨|língchén|very early in the morning; in the wee hours
灵感|línggǎn|inspiration; insight; a burst of creativity in scientific or artistic endeavor
灵魂|línghún|soul; spirit
灵敏|língmǐn|smart; clever; sensitive; keen; quick; sharp
伶俐|línglì|clever; witty; intelligent
领会|lǐnghùi|to understand; to comprehend; to grasp
领事馆|lǐngshìguǎn|consulate
领土|lǐngtǔ|territory
领悟|lǐngwù|to understand; to comprehend
领先|lǐngxiān|to lead; to be in front
领袖|lǐngxìu|leader; CL:個/个[ge4],位[wei4],名[ming2]
溜|līu|to slip away; to escape in stealth; to skate
留恋|líuliàn|reluctant to leave; to hate to have to go; to recall fondly
留念|líuniàn|to keep as a souvenir; to recall fondly
留神|líushén|to take care; to be careful
流浪|líulàng|to drift about; to wander; to roam; nomadic; homeless; unsettled (e.g. population); vagrant
流露|líulù|to reveal (indirectly, implicitly); to show (interest, contempt etc) by means of one's actions, tone of voice etc
流氓|líumáng|rogue; hoodlum; gangster; immoral behavior
流通|líutōng|to circulate; to distribute; circulation; distribution
聋哑|lóngyǎ|deaf and dumb
隆重|lóngzhòng|grand; prosperous; ceremonious; solemn
垄断|lǒngduàn|to enjoy market dominance; to monopolize
笼罩|lóngzhào|to envelop; to shroud
搂|lǒu|to draw towards oneself; to gather; to gather up (one's gown, sleeves etc); to grab (money); to extort; to hug; to embrace; to hold in one's arms
炉灶|lúzào|stove
轮船|lúnchuán|steamship; steamer; ocean liner; ship; CL:艘[sou1]
轮廓|lúnkuò|an outline; silhouette
轮胎|lúntāi|tire; pneumatic tire
论坛|lùntán|forum (for discussion)
论证|lùnzhèng|to prove a point; to expound on; to demonstrate or prove (through argument); proof
啰唆|luōsuō|variant of 囉嗦/啰嗦[luo1 suo5]
螺丝钉|luósīdīng|screw
落成|luòchéng|to complete a construction project
落实|luòshí|practical; workable; to implement; to carry out; to decide
屡次|lv̌cì|repeatedly; time and again
履行|lv̌xíng|to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform
掠夺|lvèduó|to plunder; to rob
略微|lvèwēi|a little bit; slightly
麻痹|mábì|paralysis; palsy; numbness; to benumb; (fig.) to lull; negligent; apathetic
麻木|mámù|numb; insensitive; apathetic
麻醉|mázùi|anesthesia; (fig.) to poison (sb's mind)
码头|mǎtóu|dock; pier; wharf; CL:個/个[ge4]
嘛|ma|modal particle indicating that sth is obvious; particle indicating a pause for emphasis
埋伏|máifú|to ambush; to lie in wait for; to lie low; ambush
埋没|máiméi|to engulf; to bury; to overlook; to stifle; to neglect; to fall into oblivion
埋葬|máizàng|to bury
迈|mài|to take a step; to stride
脉搏|màibó|pulse (both medical and figurative)
埋怨|máiyuàn|to complain; to grumble (about); to reproach; to blame
慢性|mànxìng|slow and patient; chronic (disease); slow to take effect (e.g. a slow poison)
漫长|màncháng|very long; endless
漫画|mànhuà|caricature; cartoon; Japanese manga
蔓延|mànyán|to extend; to spread
忙碌|mánglù|busy; bustling
茫茫|mángmáng|boundless; vast and obscure
茫然|mángrán|blankly; vacantly; at a loss
盲目|mángmù|blind; blindly; ignorant; lacking understanding
冒充|màochōng|to feign; to pretend to be; to pass oneself off as
茂盛|màoshèng|lush
枚|méi|surname Mei; classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip; wooden peg, used as a gag for marching soldiers (old)
没辙|méichè|at one's wit's end; unable to find a way out
媒介|méijiè|intermediary; vehicle; vector; medium; media
媒体|méitǐ|media, esp. news media
美观|měiguān|pleasing to the eye; beautiful; artistic
美满|měimǎn|happy; blissful
美妙|měimiào|beautiful; wonderful; splendid
门诊|ménzhěn|outpatient service
蒙|méng|drizzle; mist; to deceive; to cheat; to hoodwink; to make a wild guess; blind; dim-sighted; surname Meng; Mongol ethnic group; abbr. for Mongolia 蒙古國/蒙古国[Meng3 gu3 guo2]; Taiwan pr. [Meng2]; (knocked) unconscious; dazed; stunned; to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat
萌芽|méngyá|to sprout (lit. or fig.); to bud; to germinate; germ; seed; bud
猛烈|měngliè|fierce; violent (criticism etc)
梦想|mèngxiǎng|(fig.) to dream of; dream
眯|mǐ|to blind (as with dust); Taiwan pr. [mi3]; to narrow one's eyes; to squint; (dialect) to take a nap
弥补|míbǔ|to complement; to make up for a deficiency
弥漫|mímàn|to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc); variant of 彌漫/弥漫[mi2 man4]
迷惑|míhuò|to puzzle; to confuse; to baffle
迷人|mírén|fascinating; enchanting; charming; tempting
迷失|míshī|to lose (one's bearings); to get lost
迷信|míxìn|superstition; to have a superstitious belief (in sth)
密度|mìdù|density; thickness
密封|mìfēng|to seal up
免得|miǎndé|so as not to; so as to avoid
免疫|miǎnyì|immunity (to disease)
勉励|miǎnlì|to encourage
勉强|miǎnqiáng|to do with difficulty; to force sb to do sth; reluctant; barely enough
面貌|miànmào|appearance; face; features; CL:個/个[ge4]
面子|miànzǐ|outer surface; outside; honor; reputation; face (as in "losing face"); self-respect; feelings; (medicinal) powder
描绘|miáohùi|to describe; to portray
渺小|miǎoxiǎo|minute; tiny; negligible; insignificant
蔑视|mièshì|to loathe; to despise; contempt
灭亡|mièwáng|to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate
民间|mínjiān|among the people; popular; folk; non-governmental; involving people rather than governments
民用|mínyòng|(for) civilian use
敏感|mǐngǎn|sensitive; susceptible
敏捷|mǐnjié|nimble; quick; shrewd
敏锐|mǐnrùi|keen; sharp; acute
明明|míngmíng|obviously; plainly; undoubtedly; definitely
名次|míngcì|position in a ranking of names; place; rank
名额|míngé|quota; number of places; place (in an institution, a group etc)
名副其实|míngfùqíshí|not just in name only, but also in reality (idiom)
名誉|míngyù|fame; reputation; honor; honorary; emeritus (of retired professor)
命名|mìngmíng|to give a name to; to dub; to christen; to designate; named after; naming
摸索|mōsuǒ|to feel about; to grope about; to fumble; to do things slowly
膜|mò|membrane; film
摩擦|mócā|friction; rubbing; chafing; fig. disharmony; conflict; also written 磨擦
磨合|móhé|to break in; to wear in
模范|mófàn|model; fine example
模式|móshì|mode; method; pattern
模型|móxíng|model; mold; matrix; pattern
魔鬼|mógǔi|devil
魔术|mózhú|magic
抹杀|mǒshā|to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress
莫名其妙|mòmíngqímiào|(idiom) baffling; inexplicable
默默|mòmò|in silence; not speaking
墨水儿|mòshǔiér|erhua variant of 墨水[mo4 shui3]
谋求|móuqíu|to seek; to strive for
模样|móyáng|look; style; appearance; approximation; about; CL:個/个[ge4]; also pr. [mo2 yang4]
母语|mǔyǔ|native language; mother tongue; (linguistics) parent language
目睹|mùdǔ|to witness; to see at first hand; to see with one's own eyes
目光|mùguāng|sight; vision; view; gaze; look
沐浴|mùyù|to take a bath; to bathe; to immerse
拿手|náshǒu|expert in; good at
纳闷儿|nàmènér|erhua variant of 納悶/纳闷[na4 men4]
耐用|nàiyòng|durable
难得|nándé|seldom; rare; hard to come by
难堪|nánkān|hard to take; embarrassed
难免|nánmiǎn|hard to avoid; difficult to escape from; will inevitably
难能可贵|nánnéngkěgùi|rare and precious; valuable; remarkable
恼火|nǎohuǒ|to get angry; irritated; to annoy; to aggravate; annoying
内涵|nèihán|meaningful content; implication; connotation (semantics); inner qualities (of a person)
内幕|nèimù|inside story; non-public information; behind the scenes; internal
内在|nèizài|inner; internal; intrinsic; innate
能量|néngliàng|energy; capabilities
嗯|嗯|(a groaning sound); (nonverbal grunt as interjection); OK, yeah; what?; interjection indicating approval, appreciation or agreement
拟定|nǐdìng|to draw up; to draft; to formulate
年度|niándù|year (e.g. school year, fiscal year); annual
捏|niē|to pinch (with one's fingers); to knead; to make up; variant of 捏[nie1]
拧|níng|to pinch; wring; mistake; to twist; stubborn
凝固|nínggù|to freeze; to solidify; to congeal; fig. with rapt attention
凝聚|níngjù|to condense; to coagulate; coacervation (i.e. form tiny droplets); aggregation; coherent
凝视|níngshì|to gaze at; to fix one's eyes on
宁肯|níngkěn|would rather...; it would be better...; would prefer
宁愿|níngyuàn|would rather; better
扭转|nǐuzhuǎn|to reverse; to turn around (an undesirable situation); (mechanics) torsion
浓厚|nónghòu|dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)
农历|nónglì|the traditional Chinese calendar; the lunar calendar
奴隶|núlì|slave
挪|nuó|to shift; to move
虐待|nvèdài|to mistreat; to maltreat; to abuse; mistreatment; maltreatment
哦|é|to chant; oh (interjection indicating doubt or surprise); oh (interjection indicating that one has just learned sth); sentence-final particle that conveys informality, warmth, friendliness or intimacy; may also indicate that one is stating a fact that the other person is not aware of
殴打|ōudǎ|to beat up; to come to blows; battery (law)
欧洲|ōuzhōu|Europe; abbr. for 歐羅巴洲/欧罗巴洲[Ou1 luo2 ba1 Zhou1]
呕吐|ōutǔ|to vomit
趴|pā|to lie on one's stomach; to lean forward, resting one's upper body (on a desktop etc); (Tw) percent
排斥|páichì|to reject; to exclude; to eliminate; to remove; to repel
排除|páichú|to eliminate; to remove; to exclude; to rule out
排放|páifàng|emission; discharge; exhaust (gas etc)
徘徊|páihuái|to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger
派别|pàibié|denomination; group; school; faction; school of thought
派遣|pàiqiǎn|to send (on a mission); to dispatch
攀登|pāndēng|to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger
盘旋|pánxuán|to spiral; to circle; to go around; to hover; to orbit
畔|pàn|edge; side; boundary; bank (of a river etc); shore
判决|pànjué|judgment (by a court of law); to pass judgment on; to sentence
庞大|pángdà|huge; enormous; tremendous
抛弃|pāoqì|to abandon; to discard; to renounce; to dump (sb)
泡沫|pàomò|foam; (soap) bubble; (economic) bubble
培训|péixùn|to cultivate; to train; to groom; training
培育|péiyù|to train; to breed
配备|pèibèi|to allocate; to provide; to outfit with
配偶|pèiǒu|consort; mate; spouse
配套|pèitào|to form a complete set; compatible; matching; complementary
盆地|péndì|(geography) basin; depression
烹饪|pēngrèn|cooking; culinary arts
捧|pěng|to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter
劈|pī|to hack; to chop; to split open; (of lightning) to strike; to split in two; to divide
批发|pīfā|wholesale; bulk trade; distribution
批判|pīpàn|to criticize; critique; CL:個/个[ge4]
疲惫|píbèi|beaten; exhausted; tired
疲倦|píjuàn|to tire; tired
皮革|pígé|leather; CL:張/张[zhang1]
屁股|pìgǔ|buttocks; bottom; butt; back part
譬如|pìrú|for example; for instance; such as
偏差|piānchà|bias; deviation
偏见|piānjiàn|prejudice
偏僻|piānpì|remote; desolate; far from the city
偏偏|piānpiān|(indicates that sth turns out just the opposite of what one would wish) unfortunately; as it happened; (indicates that sth is the opposite of what would be normal or reasonable) stubbornly; contrarily; against reason; (indicates that sb or a group is singled out) precisely; only; of all people
片断|piànduàn|section; fragment; segment
片刻|piànkè|short period of time; a moment
飘扬|piāoyáng|to wave; to flutter; to fly
漂浮|piāofú|to float; to hover; to drift (also fig., to lead a wandering life); to rove; showy; superficial
拼搏|pīnbó|to struggle; to wrestle
拼命|pīnmìng|to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it
频繁|pínfán|frequently; often
频率|pínlv̀|frequency
贫乏|pínfá|impoverished; lacking; deficient; limited; meager; impoverishment; lack; deficiency
贫困|pínkùn|impoverished; poverty
品尝|pǐncháng|to taste a small amount; to sample
品德|pǐndé|moral character
品行|pǐnxíng|behavior; moral conduct
品质|pǐnzhí|character; intrinsic quality (of a person); quality (of a product or service, or as in "quality of life", "air quality" etc)
平凡|píngfán|commonplace; ordinary; mediocre
平面|píngmiàn|plane (flat surface); print media
平坦|píngtǎn|level; even; smooth; flat
平行|píngxíng|parallel; of equal rank; simultaneous
平原|píngyuán|field; plain; CL:個/个[ge4]
评估|pínggū|to evaluate; to assess; assessment; evaluation
评论|pínglùn|to comment on; to discuss; comment; commentary; CL:篇[pian1]
屏障|píngzhàng|barrier
坡|pō|slope; CL:個/个[ge4]; sloping; slanted
泼|pō|to splash; to spill; rough and coarse; brutish
颇|pǒ|surname Po; Taiwan pr. [Po3]; rather; quite; considerably; oblique; inclined; slanting; Taiwan pr. [po3]
破例|pòlì|to make an exception
迫害|pòhài|to persecute; persecution
魄力|pòlì|courage; daring; boldness; resolution; drive
扑|pū|to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over
铺|pū|variant of 鋪/铺[pu4]; store; to spread; to display; to set up; (old) holder for door-knocker; plank bed; place to sleep; shop; store; (old) relay station
普及|pǔjí|to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive
朴实|pòshí|plain; simple; guileless; down-to-earth; sincere and honest
瀑布|pùbù|waterfall
期望|qīwàng|to have expectations; to earnestly hope; expectation; hope
期限|qīxiàn|time limit; deadline; allotted time
欺负|qīfù|to bully
欺骗|qīpiàn|to deceive; to cheat
凄凉|qīliáng|mournful; miserable; desolate (place)
奇妙|qímiào|fantastic; wonderful
旗袍|qípáo|Chinese-style dress; cheongsam
旗帜|qízhì|ensign; flag
齐全|qíquán|complete; comprehensive
歧视|qíshì|to discriminate against; discrimination
起草|qǐcǎo|to make a draft; to draw up (plans)
起初|qǐchū|originally; at first; at the outset
起伏|qǐfú|to move up and down; to undulate; ups and downs
起哄|qǐhōng|to heckle; rowdy jeering; to create a disturbance
起码|qǐmǎ|at the minimum; at the very least
起义|qǐyì|uprising; insurrection; revolt
起源|qǐyuán|origin; to originate; to come from
启程|qǐchéng|to set out on a journey
启示|qǐshì|to reveal; to enlighten; enlightenment; revelation; illumination; moral (of a story etc); lesson
启事|qǐshì|announcement (written, on billboard, letter, newspaper or website); to post information; a notice
乞丐|qǐgài|beggar
器材|qìcái|equipment; material
器官|qìguān|organ (part of body tissue); apparatus
气概|qìgài|lofty quality; mettle; spirit
气功|qìgōng|qigong, a system of deep breathing exercises
气魄|qìpò|spirit; boldness; positive outlook; imposing attitude
气色|qìsè|complexion
气势|qìshì|imposing manner; loftiness; grandeur; energetic looks; vigor
气味|qìwèi|odor; scent
气象|qìxiàng|meteorological feature; CL:個/个[ge4]; meteorology; atmosphere; ambience; scene
气压|qìyā|atmospheric pressure; barometric pressure
迄今为止|qìjīnwèizhǐ|so far; up to now; still (not)
掐|qiā|to pick (flowers); to pinch; to nip; to pinch off; to clutch; (slang) to fight
恰当|qiàdāng|appropriate; suitable
恰到好处|qiàdàohǎochù|it's just perfect; it's just right
恰巧|qiàqiǎo|fortunately; unexpectedly; by coincidence
洽谈|qiàtán|to discuss
牵扯|qiānchě|to involve; to implicate; to be interrelated
牵制|qiānzhì|to control; to curb; to restrict; to impede; to pin down (enemy troops)
签订|qiāndìng|to agree to and sign (a treaty etc)
签署|qiānshǔ|to sign (an agreement)
迁就|qiānjìu|to yield; to adapt to; to accommodate to (sth)
迁徙|qiānxǐ|to migrate; to move
谦逊|qiānxùn|humble; modest; unpretentious; modesty
前景|qiánjǐng|foreground; vista; (future) prospects; perspective
前提|qiántí|premise; precondition; prerequisite
潜力|qiánlì|potential; capacity
潜水|qiánshǔi|to dive; to go under water; lurker (Internet slang for sb who reads forum posts but never replies)
潜移默化|qiányímòhuà|imperceptible influence; to influence secretly
谴责|qiǎnzé|to denounce; to condemn; to criticize; condemnation; criticism
强制|qiángzhì|to enforce; enforcement; forcibly; compulsory
抢劫|qiǎngjié|to rob; looting
抢救|qiǎngjìu|to rescue
强迫|qiángpò|to compel; to force
桥梁|qiáoliáng|bridge (lit. and fig.)
翘|qiáo|outstanding; to raise; to stick up; to rise on one end; to tilt
切实|qiēshí|feasible; realistic; practical; earnestly; conscientiously
亲热|qīnrè|affectionate; intimate; warmhearted; to get intimate with sb
亲身|qīnshēn|personal; oneself
侵犯|qīnfàn|to infringe on; to encroach on; to violate; to assault
钦佩|qīnpèi|to admire; to look up to; to respect sb greatly
勤俭|qínjiǎn|hardworking and frugal
勤恳|qínkěn|diligent and attentive; assiduous; sincere
氢|qīng|hydrogen (chemistry)
轻而易举|qīngéryìjǔ|easy; with no difficulty
清澈|qīngchè|clear; limpid
清晨|qīngchén|early morning
清除|qīngchú|to clear away; to eliminate; to get rid of
清洁|qīngjié|clean; to clean
清理|qīnglǐ|to clear up; to tidy up; to dispose of
清晰|qīngxī|clear; distinct
清醒|qīngxǐng|clear-headed; sober; awake
清真|qīngzhēn|Islamic; Muslim; halal (of food); clean; pure
倾听|qīngtīng|to listen attentively
倾向|qīngxiàng|trend; tendency; orientation
倾斜|qīngxié|to incline; to lean; to slant; to slope; to tilt
晴朗|qínglǎng|sunny and cloudless
情报|qíngbào|information; intelligence
情节|qíngjié|plot; circumstances
情理|qínglǐ|reason; sense
情形|qíngxíng|circumstances; situation; CL:個/个[ge4]
请柬|qǐngjiǎn|invitation card; written invitation
请教|qǐngjiào|to ask for guidance; to consult
请示|qǐngshì|to ask for instructions
请帖|qǐngtiē|invitation card; written invitation
丘陵|qīulíng|hills
区分|qūfēn|to differentiate; to draw a distinction; to divide into categories
区域|qūyù|area; region; district
屈服|qūfú|to surrender; to succumb; to yield; (as a transitive verb) to defeat; to prevail over
曲折|qūzhé|winding; (fig.) complicated
驱逐|qūzhú|to expel; to deport; banishment
渠道|qúdào|irrigation ditch; (fig.) channel; means
取缔|qǔdì|to suppress; to crack down on; to prohibit
曲子|qūzǐ|poem for singing; tune; music; CL:支[zhi1]
趣味|qùwèi|fun; interest; delight; taste; liking; preference
圈套|quāntào|trap; snare; trick
全局|quánjú|overall situation
全力以赴|quánlìyǐfù|to do at all costs; to make an all-out effort
权衡|quánhéng|to consider; to weigh (a matter); to balance (pros and cons)
权威|quánwēi|authority; authoritative; power and prestige
权益|quányì|rights; interests; rights and benefits
拳头|quántóu|fist; clenched fist; CL:個/个[ge4]; competitive (product)
犬|quǎn|dog; Kangxi radical 94
