character-simplified|pinyin|definition
酸|suān|sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; to make sarcastic remarks about sb; an acid
算|suàn|to regard as; to figure; to calculate; to compute
随便|súibiàn|as one wishes; as one pleases; at random; negligent; casual; wanton
随着|súizháo|along with; in the wake of; following
孙子|sūnzǐ|Sun Tzu, also known as Sun Wu 孫武/孙武[Sun1 Wu3] (c. 500 BC, dates of birth and death uncertain), general, strategist and philosopher of the Spring and Autumn Period (700-475 BC), believed to be the author of the “Art of War” 孫子兵法/孙子兵法[Sun1 zi3 Bing1 fa3], one of the Seven Military Classics of ancient China 武經七書/武经七书[Wu3 jing1 Qi1 shu1]; grandson; son's son
所有|suǒyǒu|all; to have; to possess; to own
抬|tái|to lift; to raise; (of two or more persons) to carry
台|tái|Taiwan (abbr.); surname Tai; (classical) you (in letters); variant of 臺/台[tai2]; desk; table; counter; Taiwan (abbr.); platform; stage; terrace; stand; support; station; broadcasting station; classifier for vehicles or machines; typhoon
态度|tàidù|manner; bearing; attitude; approach; CL:個/个[ge4]
谈|tán|surname Tan; to speak; to talk; to converse; to chat; to discuss
弹|dàn|crossball; bullet; shot; shell; ball; to pluck (a string); to play (a string instrument); to spring or leap; to shoot (e.g. with a catapult); (of cotton) to fluff or tease; to flick; to flip; to accuse; to impeach; elastic (of materials)
汤|tāng|surname Tang; rushing current; soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled
躺|tǎng|to recline; to lie down
趟|tàng|to wade; to trample; to turn the soil; classifier for times, round trips or rows; a time; a trip
讨论|tǎolùn|to discuss; to talk over; CL:個/个[ge4]
讨厌|tǎoyàn|to dislike; to loathe; disagreeable; troublesome; annoying
特点|tèdiǎn|characteristic (feature); trait; feature; CL:個/个[ge4]
提供|tígōng|to offer; to supply; to provide; to furnish
提前|tíqián|to shift to an earlier date; to do sth ahead of time; in advance
提醒|tíxǐng|to remind; to call attention to; to warn of
填空|tiánkōng|to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)
条件|tiáojiàn|condition; circumstances; term; factor; requirement; prerequisite; qualification; CL:個/个[ge4]
停止|tíngzhǐ|to stop; to halt; to cease
挺|tǐng|straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
通过|tōngguò|by means of; through; via; to pass through; to get through; to adopt; to pass (a bill or inspection etc); to switch over
通知|tōngzhī|to notify; to inform; notice; notification; CL:個/个[ge4]
同情|tóngqíng|to sympathize with; sympathy
推|tūi|to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage
推迟|tūichí|to postpone; to put off; to defer
脱|tuō|to shed; to take off; to escape; to get away from
袜子|wàzǐ|socks; stockings; CL:隻/只[zhi1],對/对[dui4],雙/双[shuang1]
完全|wánquán|complete; whole; totally; entirely
往|wǎng|to go (in a direction); to; towards; (of a train) bound for; past; previous; old variant of 往[wang3]
往往|wǎngwǎng|usually; in many cases; more often than not
网球|wǎngqíu|tennis; tennis ball; CL:個/个[ge4]
网站|wǎngzhàn|website; network station; node
危险|wēixiǎn|danger; dangerous
味道|wèidào|flavor; smell; hint of
温度|wēndù|temperature; CL:個/个[ge4]
文章|wénzhāng|article; essay; literary works; writings; hidden meaning; CL:篇[pian1],段[duan4],頁/页[ye4]
握手|wòshǒu|to shake hands
污染|wūrǎn|pollution; contamination; CL:個/个[ge4]
无|wú|not to have; no; none; not; to lack; un-; -less
无聊|wúliáo|bored; boring; senseless
无论|wúlùn|no matter what or how; regardless of whether...
误会|wùhùi|to misunderstand; to mistake; misunderstanding; CL:個/个[ge4]
西红柿|xīhóngshì|tomato; CL:隻/只[zhi1]
吸引|xīyǐn|to attract (interest, investment etc); CL:個/个[ge4]
洗衣机|xǐyījī|washer; washing machine; CL:臺/台[tai2]
咸|xián|surname Xian; all; everyone; each; widespread; harmonious; salted; salty; stingy; miserly
现代|xiàndài|Hyundai, South Korean company; modern times; modern age; modern era
羡慕|xiànmù|to envy; to admire
限制|xiànzhì|to restrict; to limit; to confine; restriction; limit; CL:個/个[ge4]
香|xiāng|fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]
相反|xiāngfǎn|opposite; contrary
详细|xiángxì|detailed; in detail; minute
响|xiǎng|echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises
消息|xiāoxī|news; information; CL:條/条[tiao2]
小说|xiǎoshuō|novel; fiction; CL:本[ben3],部[bu4]
笑话|xiàohuà|joke; jest; CL:個/个[ge4]; to laugh at; to mock
效果|xiàoguǒ|result; effect; quality; CL:個/个[ge4]
心情|xīnqíng|mood; frame of mind; CL:個/个[ge4]
辛苦|xīnkǔ|exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s)
信任|xìnrèn|to trust; to have confidence in
信心|xìnxīn|confidence; faith (in sb or sth); CL:個/个[ge4]
信用卡|xìnyòngqiǎ|credit card
兴奋|xīngfèn|excited; excitement; (physiology) excitation
行|xíng|row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column; to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense
醒|xǐng|to wake up; to be awake; to become aware; to sober up; to come to
性别|xìngbié|gender; sex
性格|xìnggé|nature; disposition; temperament; character; CL:個/个[ge4]
幸福|xìngfú|happiness; happy; blessed
修|xīu|surname Xiu; to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class); dried meat; private teacher's remuneration; withered; variant of 修[xiu1]
许多|xǔduō|many; a lot of; much
血|xiě|blood; colloquial pr. [xie3]; CL:滴[di1],片[pian4]
压力|yālì|pressure
牙膏|yágāo|toothpaste; CL:管[guan3]
亚洲|yàzhōu|Asia; abbr. for 亞細亞洲/亚细亚洲[Ya4 xi4 ya4 Zhou1]
呀|yā|(particle equivalent to 啊 after a vowel, expressing surprise or doubt)
盐|yán|salt; CL:粒[li4]
严格|yángé|strict; stringent; tight; rigorous
严重|yánzhòng|grave; serious; severe; critical
研究生|yánjīushēng|graduate student; postgraduate student; research student
演出|yǎnchū|to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:場/场[chang3],次[ci4]
演员|yǎnyuán|actor or actress; performer; CL:個/个[ge4],位[wei4],名[ming2]
阳光|yángguāng|sunshine; CL:線/线[xian4]; transparent (open to public scrutiny)
养成|yǎngchéng|to cultivate; to raise; to form (a habit); to acquire
样子|yángzǐ|appearance; manner; pattern; model
邀请|yāoqǐng|to invite; invitation; CL:個/个[ge4]
钥匙|yàochí|key; CL:把[ba3]
也许|yěxǔ|perhaps; maybe
页|yè|head; page; leaf
叶子|yèzǐ|foliage; leaf; CL:片[pian4]
一切|yīqiē|everything; every; all
以|yǐ|abbr. for Israel 以色列[Yi3 se4 lie4]; to use; by means of; according to; in order to; because of; at (a certain date or place)
亿|yì|100 million
意见|yìjiàn|idea; opinion; suggestion; objection; complaint; CL:點/点[dian3],條/条[tiao2]
艺术|yìzhú|art
因此|yīncǐ|thus; consequently; as a result
引起|yǐnqǐ|to give rise to; to lead to; to cause; to arouse
饮料|yǐnliào|drink; beverage
印象|yìnxiàng|impression
赢|yíng|to beat; to win; to profit
硬|yìng|hard; stiff; strong; firm; resolutely; doggedly; good (quality); able (person)
勇敢|yǒnggǎn|brave; courageous
永远|yǒngyuǎn|forever; eternal
优点|yōudiǎn|merit; benefit; strong point; advantage; CL:個/个[ge4],項/项[xiang4]
优秀|yōuxìu|outstanding; excellent
幽默|yōumò|(loanword) humor; humorous
由|yóu|to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)
由于|yóuyú|due to; as a result of; thanks to; owing to; since; because
尤其|yóuqí|especially; particularly
有趣|yǒuqù|interesting; fascinating; amusing
友好|yǒuhǎo|Youhao district of Yichun city 伊春市[Yi1 chun1 shi4], Heilongjiang; friendly; amicable; close friend
友谊|yǒuyí|companionship; fellowship; friendship
愉快|yúkuài|cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted
于是|yúshì|thereupon; as a result; consequently; thus; hence
与|yǔ|variant of 歟/欤[yu2]; and; to give; together with; to take part in
语法|yǔfǎ|grammar
语言|yǔyán|language; CL:門/门[men2],種/种[zhong3]
羽毛球|yǔmáoqíu|shuttlecock; badminton; CL:個/个[ge4]
预习|yùxí|to prepare a lesson
圆|yuán|circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie)
原来|yuánlái|original; former; originally; formerly; at first; so, actually, as it turns out
原谅|yuánliàng|to excuse; to forgive; to pardon
原因|yuányīn|cause; origin; root cause; reason; CL:個/个[ge4]
约会|yuēhùi|appointment; engagement; date; CL:次[ci4],個/个[ge4]; to arrange to meet
阅读|yuèdú|to read; reading
允许|yǔnxǔ|to permit; to allow
杂志|zázhì|magazine; CL:本[ben3],份[fen4],期[qi1]
咱们|zánmen|we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you; also pr. [za2 men5]
暂时|zànshí|temporary; provisional; for the time being
脏|zāng|viscera; (anatomy) organ; dirty; filthy
责任|zérèn|responsibility; blame; duty; CL:個/个[ge4]
增加|zēngjiā|to raise; to increase
增长|zēngcháng|to grow; to increase
窄|zhǎi|narrow; narrow-minded; badly off
招聘|zhāopìn|to invite applications for a job; to recruit
真正|zhēnzhèng|genuine; real; true; genuinely
整理|zhěnglǐ|to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)
整齐|zhěngqí|orderly; neat; even; tidy
正常|zhèngcháng|regular; normal; ordinary
正好|zhènghǎo|just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that
正确|zhèngquè|correct; proper
正式|zhèngshì|formal; official
证明|zhèngmíng|proof; certificate; identification; testimonial; CL:個/个[ge4]; to prove; to testify; to confirm the truth of
之|zhī|(possessive particle, literary equivalent of 的[de5]); him; her; it
支持|zhīchí|to be in favor of; to support; to back; support; backing; to stand by; CL:個/个[ge4]
知识|zhīshì|knowledge; CL:門/门[men2]; intellectual
直接|zhíjiē|direct (opposite: indirect 間接/间接[jian4 jie1]); immediate; straightforward
值得|zhídé|to be worth; to deserve
职业|zhíyè|occupation; profession; vocation; professional
植物|zhíwù|plant; vegetation; CL:種/种[zhong3]
指|zhǐ|finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end
只好|zhǐhǎo|without any better option; to have to; to be forced to
只要|zhǐyào|if only; so long as
制造|zhìzào|to manufacture; to make
至少|zhìshǎo|at least; (to say the) least
质量|zhíliàng|quality; (physics) mass; CL:個/个[ge4]
中文|zhōngwén|Chinese language
重点|zhòngdiǎn|to recount (e.g. results of election); to re-evaluate; important point; main point; focus; key (project etc); to focus on; to put the emphasis on
重视|zhòngshì|to attach importance to sth; to value
周围|zhōuwéi|surroundings; environment; to encompass
猪|zhū|hog; pig; swine; CL:口[kou3],頭/头[tou2]
逐渐|zhújiàn|gradually
主动|zhǔdòng|to take the initiative; to do sth of one's own accord; spontaneous; active; opposite: passive 被動/被动[bei4 dong4]; drive (of gears and shafts etc)
主意|zhǔyì|plan; idea; decision; CL:個/个[ge4]; Beijing pr. [zhu2 yi5]
祝贺|zhùhè|to congratulate; congratulations; CL:個/个[ge4]
著名|zhùmíng|famous; noted; well-known; celebrated
专门|zhuānmén|specialist; specialized; customized
专业|zhuānyè|specialty; specialized field; main field of study (at university); major; CL:門/门[men2],個/个[ge4]; professional
赚|zhuàn|to earn; to make a profit; to cheat; to swindle
撞|zhuàng|to knock against; to bump into; to run into; to meet by accident
准确|zhǔnquè|accurate; exact; precise
准时|zhǔnshí|on time; punctual; on schedule
仔细|zǐxì|careful; attentive; cautious
自然|zìrán|nature; natural; naturally
总结|zǒngjié|to sum up; to conclude; summary; résumé; CL:個/个[ge4]
租|zū|to hire; to rent; to charter; to rent out; to lease out; rent; land tax
组成|zǔchéng|to form; to make up; to constitute
组织|zǔzhī|to organize; organization; (biology) tissue; (textiles) weave; CL:個/个[ge4]
嘴|zǔi|mouth; beak; nozzle; spout (of teapot etc); CL:張/张[zhang1],個/个[ge4]
最好|zùihǎo|best; (you) had better (do what we suggest)
最后|zùihòu|final; last; finally; ultimate
尊重|zūnzhòng|to esteem; to respect; to honor; to value; eminent; serious; proper
做生意|zuòshēngyì|to do business
座|zuò|seat; base; stand; CL:個/个[ge4]; classifier for buildings, mountains and similar immovable objects
座位|zuòwèi|seat; CL:個/个[ge4]
作者|zuòzhě|author; writer; CL:個/个[ge4]
